Return,Volatility,Sharpe Ratio
0.20471273963297337,0.22237906430124382,0.785652822948748
0.18933000304329045,0.17720886458911195,0.8991085373337468
0.15628334437835384,0.23203668505531094,0.5442387023769603
0.17413109970012502,0.2060594776168333,0.6994635789970126
0.15467195430547814,0.2322902987733333,0.5367075377828494
0.15202528109661445,0.2008857156859321,0.6074363260720373
0.20076539184398856,0.2484105260978306,0.687432189474679
0.18086813871559654,0.23138303218595405,0.652027667242036
0.14587724025440268,0.28655326028994293,0.40438290646965497
0.14013118002663222,0.2712504083851243,0.4060129556386391
0.15966184564281938,0.21394015688845955,0.6060659556794672
0.17523464081284285,0.26341553792869676,0.5513518373094454
0.1806123568531831,0.17978354008903863,0.8377427476319114
0.17639069047740902,0.19674260557050732,0.7440721345176375
0.1413103459745206,0.2995528305413843,0.37158836313897786
0.17181618649679142,0.17786826615818954,0.7973102204227104
0.16029607594635992,0.20395161969287248,0.6388577651041493
0.17663436176428784,0.1827656993667493,0.8023078852998669
0.1928747015166672,0.20307493501334617,0.8020423668039731
0.17504935268306424,0.25910227760998616,0.5598150430055263
0.14180434911596285,0.16367307075085571,0.6830955672980084
0.1406329479381276,0.2816680357920463,0.39277778760742027
0.15276082361705787,0.16716928042072035,0.734350374112407
0.19077760335214958,0.17586190838036073,0.914226422497439
0.17625075307098637,0.20207833552105356,0.7237329657030415
0.17313829161998404,0.27793622343899277,0.5150040892435275
0.18204571480637435,0.18722772516295363,0.8120897408438915
0.15515510404247967,0.20906901299343897,0.5986305777719786
0.18103965376888828,0.18551911195587734,0.8141460584654511
0.17646492975030248,0.1693257951763435,0.8649888789700785
0.18573353466277978,0.17747000974592048,0.8775202913762146
0.16619790782607097,0.17292824910765273,0.7875977957845621
0.16394787596538193,0.17768763971339624,0.7538390187490533
0.19310177695250727,0.1760880504271616,0.926251250762606
0.162754208432988,0.19113329397551582,0.6945634937364382
0.15613511503018968,0.18033693964358202,0.6994413639240145
0.1751458292080616,0.18130318525527056,0.8005696590696945
0.17146159871457978,0.18616357327182761,0.7598779730555771
0.1767996663521158,0.2028558022860797,0.7236651093917931
0.15953403663663418,0.1920169490986785,0.6745968897259479
0.1566828013918287,0.16058983005872332,0.7888594274338807
0.17906326058384153,0.20187007364973625,0.7384118799227292
0.1859303132725484,0.17557741004508193,0.8881000877761617
0.18475627402609573,0.18729066624366575,0.8262893027715398
0.1699283016218988,0.21537980793738157,0.6496816157556461
0.16157319397583755,0.20419942396124624,0.644336753862773
0.15969689445595087,0.17400843449404502,0.7453483208044689
0.1705986180991114,0.18105651522739075,0.776545477651175
0.18281167996162423,0.17237217064507046,0.8865217592245618
0.15470146948742836,0.2137720754516261,0.5833384422356264
0.20499335639202357,0.20168954692879193,0.8676372130173228
0.1980756475212437,0.20890230325287065,0.8045657941731386
0.14787441957329908,0.17441773254006102,0.6758167180405534
0.19336547478987995,0.2216616436568393,0.7370038049649704
0.16743356593965458,0.20048375172873137,0.6855097470722309
0.187128634186134,0.20925444083464698,0.7508974890062056
0.17361458613838526,0.23891381409047657,0.6011146181944861
0.1495526711575398,0.1859720198504146,0.6428530015090509
0.1580665297342419,0.21118830197214453,0.6064092023010522
0.1724793987652934,0.2051601415134704,0.6944789456383684
