Target Return,Volatility
0.21932753356118193,0.2500390327963111
0.2238468058896514,0.2500390327963111
0.22836607821812085,0.2500390327963111
0.23288535054659035,0.2500390327963111
0.2374046228750598,0.2500390327963111
0.24192389520352928,0.2500390327963111
0.24644316753199874,0.2500390327963111
0.25096243986046823,0.2500390327963111
0.25548171218893767,0.2500988172847045
0.26000098451740716,0.25064893537845584
0.26452025684587666,0.2514434221444191
0.2690395291743461,0.2523043868577863
0.2735588015028156,0.2532264231256128
0.278078073831285,0.2542088664142573
0.2825973461597545,0.25525101921750093
0.287116618488224,0.25635215332203826
0.29163589081669344,0.25751151210662415
0.2961551631451629,0.25872831285994924
0.3006744354736324,0.2600017491029492
0.30519370780210187,0.2613309929020123
0.30971298013057136,0.26271519716040737
0.3142322524590408,0.2641534978762032
0.31875152478751023,0.2656450163559564
0.3232707971159797,0.26718886137449827
0.3277900694444492,0.268784131272229
0.33230934177291865,0.27042991598241173
0.33682861410138815,0.2721252989820373
0.3413478864298576,0.2738693591608845
0.3458671587583271,0.27566117260442285
0.35038643108679657,0.2774998142871788
0.35490570341526606,0.27938435967411185
0.3594249757437355,0.2813138862284081
0.36394424807220493,0.2832874748248984
0.3684635204006744,0.28530421106903875
0.3729827927291439,0.28736318652205134
0.3775020650576134,0.28946349983341485
0.38202133738608285,0.29160425778241467
0.3865406097145523,0.2937845762309144
0.3910598820430218,0.2960035809899003
0.39557915437149127,0.29826040860267133
0.40009842669996076,0.3005542070478167
0.4046176990284302,0.302886773320267
0.40913697135689964,0.3052609325548675
0.41365624368536913,0.3076757490411438
0.4181755160138386,0.3101302730525471
0.42269478834230806,0.3126235693147956
0.42721406067077755,0.3151547176078048
0.431733332999247,0.31772281328485763
0.4362526053277165,0.3203269677137577
0.440771877656186,0.322966308644716
0.4452911499846554,0.3256399805096943
0.4498104223131249,0.32834714465786236
0.45432969464159434,0.3310869795317315
0.45884896697006383,0.333858680788408
0.4633682392985333,0.3366614613702674
0.46788751162700276,0.3394945515291945
0.4724067839554722,0.34235719880836546
0.4769260562839417,0.3452486679853658
0.4814453286124112,0.3481682409802552
0.4859646009408807,0.3511152167319975
0.49048387326935017,0.35408891104648726
0.49500314559781955,0.3570886564192059
0.49952241792628904,0.3601138018353602
0.5040416902547585,0.36316371255016305
0.508560962583228,0.3662377698517382
0.5130802349116975,0.369335370808956
0.5175995072401669,0.3724559280063349
0.5221187795686364,0.37559886926798425
0.5266380518971059,0.37876363737240326
0.5311573242255754,0.3819516574132717
0.5356765965540449,0.3851647767657908
0.5401958688825143,0.38840237943014344
0.5447151412109837,0.39166385824915273
0.5492344135394532,0.3949486217166572
0.5537536858679227,0.39825609368699144
0.5582729581963922,0.401585713076817
0.5627922305248616,0.404936933560856
0.5673115028533311,0.4083092232629362
0.5718307751818006,0.4117020644436399
0.5763500475102701,0.4151149531857257
0.5808693198387396,0.41854739907838284
0.585388592167209,0.4219989249012733
0.5899078644956784,0.4254690663092224
0.5944271368241479,0.4289575592447965
0.5989464091526174,0.43247625955780755
0.6034656814810868,0.43603178940489334
0.6079849538095563,0.4396232551910975
0.6125042261380258,0.4432497833960697
0.6170234984664953,0.4469105204615023
0.6215427707949648,0.4506046326441189
0.6260620431234342,0.4543313058376828
0.6305813154519037,0.45808974536729047
0.6351005877803731,0.4618791757590143
0.6396198601088426,0.4657002918707395
0.6441391324373121,0.46975045389520653
0.6486584047657815,0.4741624104615827
0.653177677094251,0.4789261629191392
0.6576969494227205,0.4840313244366386
0.66221622175119,0.4894672124024738
0.6667354940796595,0.4952229361327444
